x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
40.0000,0.0000,56.0000,ball,1,1,0,0,0
39.8647,0.1484,55.7794,ball,1,1,0,0,0
39.7286,0.2953,55.5605,ball,1,1,0,0,0
39.5917,0.4406,55.3433,ball,1,1,0,0,0
39.4541,0.5844,55.1278,ball,1,1,0,0,0
39.3158,0.7267,54.9138,ball,1,1,0,0,0
39.1768,0.8675,54.7016,ball,1,1,0,0,0
39.0370,1.0067,54.4909,ball,1,1,0,0,0
38.8966,1.1445,54.2819,ball,1,1,0,0,0
38.7555,1.2807,54.0745,ball,1,1,0,0,0
38.6138,1.4155,53.8687,ball,1,1,0,0,0
38.4714,1.5488,53.6645,ball,1,1,0,0,0
38.3283,1.6806,53.4618,ball,1,1,0,0,0
38.1847,1.8109,53.2608,ball,1,1,0,0,0
38.0404,1.9399,53.0613,ball,1,1,0,0,0
37.8955,2.0673,52.8634,ball,1,1,0,0,0
37.7500,2.1934,52.6670,ball,1,1,0,0,0
37.6040,2.3180,52.4722,ball,1,1,0,0,0
37.4574,2.4412,52.2789,ball,1,1,0,0,0
37.3102,2.5629,52.0871,ball,1,1,0,0,0
37.1625,2.6833,51.8968,ball,1,1,0,0,0
37.0143,2.8023,51.7081,ball,1,1,0,0,0
36.8655,2.9199,51.5208,ball,1,1,0,0,0
36.7162,3.0361,51.3350,ball,1,1,0,0,0
36.5665,3.1509,51.1507,ball,1,1,0,0,0
36.4162,3.2644,50.9679,ball,1,1,0,0,0
36.2655,3.3765,50.7866,ball,1,1,0,0,0
36.1143,3.4872,50.6067,ball,1,1,0,0,0
35.9626,3.5966,50.4282,ball,1,1,0,0,0
35.8105,3.7046,50.2512,ball,1,1,0,0,0
35.6579,3.8114,50.0757,ball,1,1,0,0,0
35.5049,3.9167,49.9015,ball,1,1,0,0,0
35.3515,4.0208,49.7288,ball,1,1,0,0,0
35.1977,4.1235,49.5574,ball,1,1,0,0,0
35.0435,4.2250,49.3875,ball,1,1,0,0,0
34.8889,4.3251,49.2190,ball,1,1,0,0,0
34.7339,4.4239,49.0518,ball,1,1,0,0,0
34.5785,4.5215,48.8860,ball,1,1,0,0,0
34.4228,4.6177,48.7216,ball,1,1,0,0,0
34.2667,4.7127,48.5586,ball,1,1,0,0,0
34.1102,4.8064,48.3969,ball,1,1,0,0,0
33.9534,4.8988,48.2365,ball,1,1,0,0,0
33.7963,4.9900,48.0775,ball,1,1,0,0,0
33.6389,5.0799,47.9198,ball,1,1,0,0,0
33.4811,5.1685,47.7635,ball,1,1,0,0,0
33.3230,5.2559,47.6084,ball,1,1,0,0,0
33.1647,5.3421,47.4547,ball,1,1,0,0,0
33.0060,5.4270,47.3023,ball,1,1,0,0,0
32.8471,5.5107,47.1511,ball,1,1,0,0,0
32.6878,5.5932,47.0013,ball,1,1,0,0,0
32.5284,5.6744,46.8527,ball,1,1,0,0,0
32.3686,5.7544,46.7054,ball,1,1,0,0,0
32.2086,5.8332,46.5594,ball,1,1,0,0,0
32.0483,5.9108,46.4146,ball,1,1,0,0,0
31.8878,5.9872,46.2711,ball,1,1,0,0,0
31.7271,6.0624,46.1288,ball,1,1,0,0,0
31.5661,6.1364,45.9878,ball,1,1,0,0,0
31.4049,6.2093,45.8480,ball,1,1,0,0,0
31.2435,6.2809,45.7094,ball,1,1,0,0,0
31.0819,6.3514,45.5720,ball,1,1,0,0,0
30.9201,6.4206,45.4359,ball,1,1,0,0,0
30.7581,6.4887,45.3009,ball,1,1,0,0,0
30.5959,6.5557,45.1672,ball,1,1,0,0,0
30.4336,6.6215,45.0346,ball,1,1,0,0,0
30.2710,6.6861,44.9032,ball,1,1,0,0,0
30.1083,6.7496,44.7730,ball,1,1,0,0,0
29.9454,6.8119,44.6440,ball,1,1,0,0,0
29.7824,6.8730,44.5162,ball,1,1,0,0,0
29.6192,6.9331,44.3895,ball,1,1,0,0,0
29.4558,6.9920,44.2639,ball,1,1,0,0,0
29.2924,7.0497,44.1395,ball,1,1,0,0,0
29.1287,7.1064,44.0163,ball,1,1,0,0,0
28.9650,7.1619,43.8941,ball,1,1,0,0,0
28.8011,7.2162,43.7732,ball,1,1,0,0,0
28.6371,7.2695,43.6533,ball,1,1,0,0,0
28.4730,7.3216,43.5345,ball,1,1,0,0,0
28.3088,7.3727,43.4169,ball,1,1,0,0,0
28.1445,7.4226,43.3004,ball,1,1,0,0,0
27.9801,7.4714,43.1849,ball,1,1,0,0,0
27.8156,7.5192,43.0706,ball,1,1,0,0,0
27.6510,7.5658,42.9573,ball,1,1,0,0,0
27.4864,7.6113,42.8452,ball,1,1,0,0,0
27.3216,7.6558,42.7341,ball,1,1,0,0,0
27.1568,7.6991,42.6241,ball,1,1,0,0,0
26.9919,7.7414,42.5151,ball,1,1,0,0,0
26.8269,7.7826,42.4072,ball,1,1,0,0,0
26.6619,7.8227,42.3004,ball,1,1,0,0,0
26.4969,7.8618,42.1946,ball,1,1,0,0,0
26.3318,7.8998,42.0898,ball,1,1,0,0,0
26.1666,7.9367,41.9861,ball,1,1,0,0,0
26.0014,7.9725,41.8835,ball,1,1,0,0,0
25.8362,8.0073,41.7818,ball,1,1,0,0,0
25.6709,8.0411,41.6812,ball,1,1,0,0,0
25.5056,8.0737,41.5816,ball,1,1,0,0,0
25.3403,8.1054,41.4831,ball,1,1,0,0,0
25.1749,8.1359,41.3855,ball,1,1,0,0,0
25.0096,8.1655,41.2889,ball,1,1,0,0,0
24.8442,8.1940,41.1934,ball,1,1,0,0,0
24.6788,8.2214,41.0988,ball,1,1,0,0,0
24.5134,8.2478,41.0052,ball,1,1,0,0,0
24.3480,8.2732,40.9126,ball,1,1,0,0,0
24.1827,8.2976,40.8210,ball,1,1,0,0,0
24.0173,8.3209,40.7303,ball,1,1,0,0,0
23.8519,8.3432,40.6407,ball,1,1,0,0,0
23.6866,8.3645,40.5520,ball,1,1,0,0,0
23.5213,8.3848,40.4642,ball,1,1,0,0,0
23.3560,8.4040,40.3774,ball,1,1,0,0,0
23.1907,8.4222,40.2916,ball,1,1,0,0,0
23.0255,8.4395,40.2067,ball,1,1,0,0,0
22.8603,8.4557,40.1228,ball,1,1,0,0,0
22.6951,8.4709,40.0398,ball,1,1,0,0,0
22.5300,8.4851,39.9577,ball,1,1,0,0,0
22.3649,8.4983,39.8766,ball,1,1,0,0,0
22.1998,8.5105,39.7964,ball,1,1,0,0,0
22.0348,8.5217,39.7172,ball,1,1,0,0,0
21.8699,8.5319,39.6388,ball,1,1,0,0,0
21.7050,8.5411,39.5614,ball,1,1,0,0,0
21.5402,8.5494,39.4848,ball,1,1,0,0,0
21.3754,8.5566,39.4092,ball,1,1,0,0,0
21.2108,8.5629,39.3345,ball,1,1,0,0,0
21.0461,8.5682,39.2607,ball,1,1,0,0,0
20.8816,8.5725,39.1878,ball,1,1,0,0,0
20.7171,8.5758,39.1158,ball,1,1,0,0,0
20.5527,8.5782,39.0446,ball,1,1,0,0,0
20.3884,8.5796,38.9744,ball,1,1,0,0,0
20.2242,8.5800,38.9050,ball,1,1,0,0,0
20.0601,8.5794,38.8365,ball,1,1,0,0,0
19.8960,8.5779,38.7689,ball,1,1,0,0,0
19.7321,8.5755,38.7022,ball,1,1,0,0,0
19.5682,8.5720,38.6363,ball,1,1,0,0,0
19.4045,8.5676,38.5713,ball,1,1,0,0,0
19.2408,8.5623,38.5072,ball,1,1,0,0,0
19.0773,8.5560,38.4439,ball,1,1,0,0,0
18.9138,8.5487,38.3814,ball,1,1,0,0,0
18.7505,8.5405,38.3199,ball,1,1,0,0,0
18.5873,8.5314,38.2591,ball,1,1,0,0,0
18.4242,8.5213,38.1992,ball,1,1,0,0,0
18.2612,8.5103,38.1402,ball,1,1,0,0,0
18.0984,8.4983,38.0820,ball,1,1,0,0,0
17.9357,8.4854,38.0246,ball,1,1,0,0,0
17.7731,8.4715,37.9681,ball,1,1,0,0,0
17.6106,8.4568,37.9124,ball,1,1,0,0,0
17.4483,8.4410,37.8575,ball,1,1,0,0,0
17.2861,8.4244,37.8035,ball,1,1,0,0,0
17.1240,8.4068,37.7502,ball,1,1,0,0,0
16.9621,8.3883,37.6978,ball,1,1,0,0,0
16.8003,8.3689,37.6462,ball,1,1,0,0,0
16.6387,8.3486,37.5955,ball,1,1,0,0,0
16.4772,8.3273,37.5455,ball,1,1,0,0,0
16.3158,8.3051,37.4963,ball,1,1,0,0,0
16.1547,8.2821,37.4480,ball,1,1,0,0,0
15.9936,8.2580,37.4004,ball,1,1,0,0,0
15.8328,8.2331,37.3537,ball,1,1,0,0,0
15.6721,8.2073,37.3078,ball,1,1,0,0,0
15.5115,8.1806,37.2626,ball,1,1,0,0,0
15.3512,8.1529,37.2182,ball,1,1,0,0,0
15.1910,8.1244,37.1747,ball,1,1,0,0,0
15.0309,8.0949,37.1319,ball,1,1,0,0,0
14.8711,8.0646,37.0899,ball,1,1,0,0,0
14.7114,8.0334,37.0487,ball,1,1,0,0,0
14.5519,8.0012,37.0083,ball,1,1,0,0,0
14.3926,7.9682,36.9686,ball,1,1,0,0,0
14.2334,7.9343,36.9298,ball,1,1,0,0,0
14.0745,7.8994,36.8917,ball,1,1,0,0,0
13.9157,7.8637,36.8544,ball,1,1,0,0,0
13.7572,7.8271,36.8178,ball,1,1,0,0,0
13.5988,7.7897,36.7820,ball,1,1,0,0,0
13.4406,7.7513,36.7470,ball,1,1,0,0,0
13.2826,7.7121,36.7128,ball,1,1,0,0,0
13.1248,7.6720,36.6793,ball,1,1,0,0,0
12.9672,7.6310,36.6466,ball,1,1,0,0,0
12.8099,7.5891,36.6147,ball,1,1,0,0,0
12.6527,7.5464,36.5835,ball,1,1,0,0,0
12.4958,7.5028,36.5530,ball,1,1,0,0,0
12.3390,7.4583,36.5233,ball,1,1,0,0,0
12.1825,7.4129,36.4944,ball,1,1,0,0,0
12.0262,7.3667,36.4662,ball,1,1,0,0,0
11.8701,7.3196,36.4388,ball,1,1,0,0,0
11.7142,7.2717,36.4121,ball,1,1,0,0,0
11.5586,7.2229,36.3862,ball,1,1,0,0,0
11.4032,7.1732,36.3610,ball,1,1,0,0,0
11.2480,7.1227,36.3365,ball,1,1,0,0,0
11.0930,7.0713,36.3128,ball,1,1,0,0,0
10.9383,7.0191,36.2898,ball,1,1,0,0,0
10.7838,6.9660,36.2676,ball,1,1,0,0,0
10.6296,6.9121,36.2461,ball,1,1,0,0,0
10.4756,6.8574,36.2254,ball,1,1,0,0,0
10.3219,6.8017,36.2053,ball,1,1,0,0,0
10.1684,6.7453,36.1860,ball,1,1,0,0,0
10.0151,6.6880,36.1675,ball,1,1,0,0,0
9.8621,6.6298,36.1496,ball,1,1,0,0,0
9.7094,6.5709,36.1325,ball,1,1,0,0,0
9.5569,6.5110,36.1162,ball,1,1,0,0,0
9.4046,6.4504,36.1005,ball,1,1,0,0,0
9.2527,6.3889,36.0856,ball,1,1,0,0,0
9.1010,6.3266,36.0714,ball,1,1,0,0,0
8.9496,6.2634,36.0579,ball,1,1,0,0,0
8.7984,6.1995,36.0451,ball,1,1,0,0,0
8.6475,6.1347,36.0331,ball,1,1,0,0,0
8.4969,6.0691,36.0218,ball,1,1,0,0,0
8.3466,6.0026,36.0112,ball,1,1,0,0,0
8.1965,5.9354,36.0013,ball,1,1,0,0,0
8.0467,5.8673,35.9921,ball,1,1,0,0,0
7.8973,5.7984,35.9837,ball,1,1,0,0,0
7.7481,5.7287,35.9759,ball,1,1,0,0,0
7.5992,5.6581,35.9689,ball,1,1,0,0,0
7.4506,5.5868,35.9625,ball,1,1,0,0,0
7.3022,5.5147,35.9569,ball,1,1,0,0,0
7.1542,5.4417,35.9520,ball,1,1,0,0,0
7.0065,5.3680,35.9478,ball,1,1,0,0,0
6.8591,5.2934,35.9443,ball,1,1,0,0,0
6.7120,5.2180,35.9415,ball,1,1,0,0,0
6.5652,5.1419,35.9394,ball,1,1,0,0,0
6.4188,5.0649,35.9380,ball,1,1,0,0,0
6.2726,4.9872,35.9374,ball,1,1,0,0,0
6.1268,4.9086,35.9374,ball,1,1,0,0,0
5.9812,4.8293,35.9381,ball,1,1,0,0,0
5.8361,4.7492,35.9395,ball,1,1,0,0,0
5.6912,4.6682,35.9416,ball,1,1,0,0,0
5.5467,4.5865,35.9444,ball,1,1,0,0,0
5.4025,4.5040,35.9479,ball,1,1,0,0,0
5.2586,4.4208,35.9521,ball,1,1,0,0,0
5.1151,4.3367,35.9570,ball,1,1,0,0,0
4.9719,4.2519,35.9626,ball,1,1,0,0,0
4.8290,4.1663,35.9689,ball,1,1,0,0,0
4.6865,4.0799,35.9759,ball,1,1,0,0,0
4.5444,3.9927,35.9835,ball,1,1,0,0,0
4.4026,3.9048,35.9919,ball,1,1,0,0,0
4.2612,3.8161,36.0009,ball,1,1,0,0,0
4.1201,3.7266,36.0106,ball,1,1,0,0,0
3.9794,3.6363,36.0211,ball,1,1,0,0,0
3.8391,3.5453,36.0322,ball,1,1,0,0,0
3.6991,3.4536,36.0439,ball,1,1,0,0,0
3.5595,3.3610,36.0564,ball,1,1,0,0,0
3.4203,3.2678,36.0695,ball,1,1,0,0,0
3.2814,3.1737,36.0834,ball,1,1,0,0,0
3.1430,3.0789,36.0979,ball,1,1,0,0,0
3.0049,2.9834,36.1131,ball,1,1,0,0,0
2.8672,2.8871,36.1290,ball,1,1,0,0,0
2.7299,2.7900,36.1455,ball,1,1,0,0,0
2.5930,2.6922,36.1627,ball,1,1,0,0,0
2.4565,2.5937,36.1806,ball,1,1,0,0,0
2.3204,2.4944,36.1992,ball,1,1,0,0,0
2.1847,2.3944,36.2185,ball,1,1,0,0,0
2.0494,2.2936,36.2384,ball,1,1,0,0,0
1.9146,2.1921,36.2590,ball,1,1,0,0,0
1.7801,2.0898,36.2802,ball,1,1,0,0,0
1.6461,1.9869,36.3022,ball,1,1,0,0,0
1.5124,1.8832,36.3248,ball,1,1,0,0,0
1.3792,1.7787,36.3481,ball,1,1,0,0,0
1.2465,1.6735,36.3720,ball,1,1,0,0,0
1.1141,1.5677,36.3966,ball,1,1,0,0,0
0.9822,1.4610,36.4219,ball,1,1,0,0,0
0.8508,1.3537,36.4478,ball,1,1,0,0,0
0.7198,1.2456,36.4744,ball,1,1,0,0,0
0.5892,1.1369,36.5017,ball,1,1,0,0,0
0.4591,1.0274,36.5296,ball,1,1,0,0,0
0.3294,0.9172,36.5582,ball,1,1,0,0,0
0.2002,0.8062,36.5874,ball,1,1,0,0,0
0.0715,0.6946,36.6173,ball,1,1,0,0,0
-0.0568,0.5823,36.6478,ball,1,1,0,0,0
35.2615,0.0000,48.1725,wall,3.0000,2.5000,-0.8762,0.0000,-0.4819
0.0000,0.0000,34.0000,goal,7.3200,2.4400,1,0,0
