x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,42.0000,ball,1,1,0,0,0
19.7958,0.0741,42.0279,ball,1,1,0,0,0
19.5919,0.1469,42.0541,ball,1,1,0,0,0
19.3885,0.2186,42.0788,ball,1,1,0,0,0
19.1854,0.2892,42.1019,ball,1,1,0,0,0
18.9828,0.3585,42.1234,ball,1,1,0,0,0
18.7806,0.4267,42.1434,ball,1,1,0,0,0
18.5788,0.4937,42.1618,ball,1,1,0,0,0
18.3774,0.5596,42.1788,ball,1,1,0,0,0
18.1765,0.6243,42.1942,ball,1,1,0,0,0
17.9761,0.6879,42.2081,ball,1,1,0,0,0
17.7761,0.7504,42.2205,ball,1,1,0,0,0
17.5766,0.8116,42.2314,ball,1,1,0,0,0
17.3776,0.8718,42.2409,ball,1,1,0,0,0
17.1790,0.9308,42.2490,ball,1,1,0,0,0
16.9810,0.9887,42.2556,ball,1,1,0,0,0
16.7834,1.0455,42.2608,ball,1,1,0,0,0
16.5863,1.1011,42.2645,ball,1,1,0,0,0
16.3898,1.1557,42.2669,ball,1,1,0,0,0
16.1938,1.2091,42.2679,ball,1,1,0,0,0
15.9983,1.2614,42.2675,ball,1,1,0,0,0
15.8033,1.3126,42.2658,ball,1,1,0,0,0
15.6088,1.3627,42.2627,ball,1,1,0,0,0
15.4149,1.4117,42.2582,ball,1,1,0,0,0
15.2216,1.4596,42.2525,ball,1,1,0,0,0
15.0288,1.5064,42.2454,ball,1,1,0,0,0
14.8365,1.5521,42.2370,ball,1,1,0,0,0
14.6449,1.5968,42.2273,ball,1,1,0,0,0
14.4538,1.6403,42.2164,ball,1,1,0,0,0
14.2632,1.6828,42.2042,ball,1,1,0,0,0
14.0733,1.7242,42.1907,ball,1,1,0,0,0
13.8839,1.7645,42.1759,ball,1,1,0,0,0
13.6951,1.8038,42.1599,ball,1,1,0,0,0
13.5069,1.8419,42.1427,ball,1,1,0,0,0
13.3193,1.8791,42.1243,ball,1,1,0,0,0
13.1324,1.9151,42.1047,ball,1,1,0,0,0
12.9460,1.9501,42.0839,ball,1,1,0,0,0
12.7602,1.9841,42.0619,ball,1,1,0,0,0
