x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,7.0000,ball,1,1,0.0000,40.0000,0.0000
19.9657,0.1012,7.2787,ball,1,1,0.0000,40.0000,0.0000
19.9291,0.2011,7.5560,ball,1,1,0.0000,40.0000,0.0000
19.8902,0.2996,7.8318,ball,1,1,0.0000,40.0000,0.0000
19.8492,0.3967,8.1063,ball,1,1,0.0000,40.0000,0.0000
19.8059,0.4925,8.3793,ball,1,1,0.0000,40.0000,0.0000
19.7606,0.5870,8.6509,ball,1,1,0.0000,40.0000,0.0000
19.7131,0.6801,8.9211,ball,1,1,0.0000,40.0000,0.0000
19.6635,0.7719,9.1898,ball,1,1,0.0000,40.0000,0.0000
19.6118,0.8624,9.4571,ball,1,1,0.0000,40.0000,0.0000
19.5581,0.9516,9.7229,ball,1,1,0.0000,40.0000,0.0000
19.5024,1.0395,9.9872,ball,1,1,0.0000,40.0000,0.0000
19.4447,1.1261,10.2501,ball,1,1,0.0000,40.0000,0.0000
19.3850,1.2113,10.5115,ball,1,1,0.0000,40.0000,0.0000
19.3234,1.2953,10.7715,ball,1,1,0.0000,40.0000,0.0000
19.2598,1.3781,11.0300,ball,1,1,0.0000,40.0000,0.0000
19.1944,1.4595,11.2870,ball,1,1,0.0000,40.0000,0.0000
19.1271,1.5397,11.5425,ball,1,1,0.0000,40.0000,0.0000
19.0579,1.6186,11.7965,ball,1,1,0.0000,40.0000,0.0000
18.9870,1.6963,12.0490,ball,1,1,0.0000,40.0000,0.0000
18.9142,1.7727,12.3000,ball,1,1,0.0000,40.0000,0.0000
18.8397,1.8479,12.5495,ball,1,1,0.0000,40.0000,0.0000
18.7634,1.9218,12.7975,ball,1,1,0.0000,40.0000,0.0000
18.6854,1.9945,13.0441,ball,1,1,0.0000,40.0000,0.0000
18.6057,2.0660,13.2891,ball,1,1,0.0000,40.0000,0.0000
18.5244,2.1362,13.5326,ball,1,1,0.0000,40.0000,0.0000
18.4413,2.2053,13.7745,ball,1,1,0.0000,40.0000,0.0000
18.3567,2.2731,14.0150,ball,1,1,0.0000,40.0000,0.0000
18.2704,2.3398,14.2540,ball,1,1,0.0000,40.0000,0.0000
18.1825,2.4052,14.4914,ball,1,1,0.0000,40.0000,0.0000
18.0931,2.4694,14.7273,ball,1,1,0.0000,40.0000,0.0000
18.0021,2.5325,14.9617,ball,1,1,0.0000,40.0000,0.0000
17.9096,2.5943,15.1946,ball,1,1,0.0000,40.0000,0.0000
17.8156,2.6550,15.4259,ball,1,1,0.0000,40.0000,0.0000
17.7202,2.7146,15.6558,ball,1,1,0.0000,40.0000,0.0000
17.6232,2.7729,15.8841,ball,1,1,0.0000,40.0000,0.0000
17.5248,2.8301,16.1108,ball,1,1,0.0000,40.0000,0.0000
17.4250,2.8861,16.3361,ball,1,1,0.0000,40.0000,0.0000
17.3238,2.9410,16.5598,ball,1,1,0.0000,40.0000,0.0000
17.2212,2.9947,16.7820,ball,1,1,0.0000,40.0000,0.0000
17.1173,3.0473,17.0026,ball,1,1,0.0000,40.0000,0.0000
17.0120,3.0987,17.2218,ball,1,1,0.0000,40.0000,0.0000
16.9054,3.1490,17.4394,ball,1,1,0.0000,40.0000,0.0000
16.7975,3.1982,17.6555,ball,1,1,0.0000,40.0000,0.0000
16.6883,3.2462,17.8700,ball,1,1,0.0000,40.0000,0.0000
16.5778,3.2931,18.0830,ball,1,1,0.0000,40.0000,0.0000
16.4661,3.3389,18.2945,ball,1,1,0.0000,40.0000,0.0000
16.3532,3.3836,18.5045,ball,1,1,0.0000,40.0000,0.0000
16.2390,3.4272,18.7130,ball,1,1,0.0000,40.0000,0.0000
16.1237,3.4697,18.9199,ball,1,1,0.0000,40.0000,0.0000
16.0072,3.5110,19.1253,ball,1,1,0.0000,40.0000,0.0000
15.8895,3.5513,19.3292,ball,1,1,0.0000,40.0000,0.0000
15.7707,3.5905,19.5315,ball,1,1,0.0000,40.0000,0.0000
15.6508,3.6286,19.7323,ball,1,1,0.0000,40.0000,0.0000
15.5297,3.6656,19.9317,ball,1,1,0.0000,40.0000,0.0000
15.4076,3.7015,20.1295,ball,1,1,0.0000,40.0000,0.0000
15.2844,3.7363,20.3257,ball,1,1,0.0000,40.0000,0.0000
15.1601,3.7701,20.5205,ball,1,1,0.0000,40.0000,0.0000
15.0348,3.8028,20.7137,ball,1,1,0.0000,40.0000,0.0000
14.9085,3.8344,20.9055,ball,1,1,0.0000,40.0000,0.0000
14.7812,3.8650,21.0957,ball,1,1,0.0000,40.0000,0.0000
14.6529,3.8945,21.2844,ball,1,1,0.0000,40.0000,0.0000
14.5236,3.9230,21.4716,ball,1,1,0.0000,40.0000,0.0000
14.3934,3.9504,21.6573,ball,1,1,0.0000,40.0000,0.0000
14.2622,3.9767,21.8415,ball,1,1,0.0000,40.0000,0.0000
14.1301,4.0020,22.0242,ball,1,1,0.0000,40.0000,0.0000
13.9970,4.0263,22.2054,ball,1,1,0.0000,40.0000,0.0000
13.8631,4.0495,22.3851,ball,1,1,0.0000,40.0000,0.0000
13.7283,4.0717,22.5632,ball,1,1,0.0000,40.0000,0.0000
13.5926,4.0928,22.7399,ball,1,1,0.0000,40.0000,0.0000
13.4561,4.1130,22.9151,ball,1,1,0.0000,40.0000,0.0000
13.3187,4.1321,23.0889,ball,1,1,0.0000,40.0000,0.0000
13.1805,4.1501,23.2611,ball,1,1,0.0000,40.0000,0.0000
13.0415,4.1672,23.4318,ball,1,1,0.0000,40.0000,0.0000
12.9017,4.1832,23.6011,ball,1,1,0.0000,40.0000,0.0000
12.7611,4.1983,23.7688,ball,1,1,0.0000,40.0000,0.0000
12.6197,4.2123,23.9351,ball,1,1,0.0000,40.0000,0.0000
12.4776,4.2253,24.1000,ball,1,1,0.0000,40.0000,0.0000
12.3347,4.2373,24.2633,ball,1,1,0.0000,40.0000,0.0000
12.1911,4.2483,24.4252,ball,1,1,0.0000,40.0000,0.0000
12.0468,4.2584,24.5856,ball,1,1,0.0000,40.0000,0.0000
11.9018,4.2674,24.7445,ball,1,1,0.0000,40.0000,0.0000
11.7561,4.2754,24.9020,ball,1,1,0.0000,40.0000,0.0000
11.6097,4.2824,25.0580,ball,1,1,0.0000,40.0000,0.0000
11.4627,4.2885,25.2125,ball,1,1,0.0000,40.0000,0.0000
11.3150,4.2936,25.3656,ball,1,1,0.0000,40.0000,0.0000
11.1666,4.2977,25.5172,ball,1,1,0.0000,40.0000,0.0000
11.0177,4.3008,25.6674,ball,1,1,0.0000,40.0000,0.0000
10.8681,4.3029,25.8161,ball,1,1,0.0000,40.0000,0.0000
10.7179,4.3041,25.9634,ball,1,1,0.0000,40.0000,0.0000
10.5671,4.3043,26.1092,ball,1,1,0.0000,40.0000,0.0000
10.4157,4.3035,26.2536,ball,1,1,0.0000,40.0000,0.0000
10.2638,4.3018,26.3966,ball,1,1,0.0000,40.0000,0.0000
10.1113,4.2991,26.5381,ball,1,1,0.0000,40.0000,0.0000
9.9583,4.2954,26.6782,ball,1,1,0.0000,40.0000,0.0000
9.8047,4.2908,26.8168,ball,1,1,0.0000,40.0000,0.0000
9.6507,4.2853,26.9540,ball,1,1,0.0000,40.0000,0.0000
9.4961,4.2788,27.0898,ball,1,1,0.0000,40.0000,0.0000
9.3410,4.2713,27.2242,ball,1,1,0.0000,40.0000,0.0000
9.1854,4.2629,27.3571,ball,1,1,0.0000,40.0000,0.0000
9.0293,4.2535,27.4887,ball,1,1,0.0000,40.0000,0.0000
8.8728,4.2433,27.6188,ball,1,1,0.0000,40.0000,0.0000
8.7158,4.2320,27.7475,ball,1,1,0.0000,40.0000,0.0000
8.5584,4.2199,27.8748,ball,1,1,0.0000,40.0000,0.0000
8.4005,4.2068,28.0007,ball,1,1,0.0000,40.0000,0.0000
8.2422,4.1928,28.1252,ball,1,1,0.0000,40.0000,0.0000
8.0835,4.1778,28.2482,ball,1,1,0.0000,40.0000,0.0000
7.9244,4.1619,28.3699,ball,1,1,0.0000,40.0000,0.0000
7.7649,4.1451,28.4902,ball,1,1,0.0000,40.0000,0.0000
7.6051,4.1274,28.6091,ball,1,1,0.0000,40.0000,0.0000
7.4448,4.1088,28.7266,ball,1,1,0.0000,40.0000,0.0000
7.2842,4.0892,28.8427,ball,1,1,0.0000,40.0000,0.0000
7.1232,4.0688,28.9574,ball,1,1,0.0000,40.0000,0.0000
6.9619,4.0474,29.0707,ball,1,1,0.0000,40.0000,0.0000
6.8002,4.0251,29.1827,ball,1,1,0.0000,40.0000,0.0000
6.6383,4.0019,29.2933,ball,1,1,0.0000,40.0000,0.0000
6.4760,3.9778,29.4025,ball,1,1,0.0000,40.0000,0.0000
6.3134,3.9528,29.5103,ball,1,1,0.0000,40.0000,0.0000
6.1505,3.9269,29.6168,ball,1,1,0.0000,40.0000,0.0000
5.9873,3.9001,29.7219,ball,1,1,0.0000,40.0000,0.0000
5.8239,3.8724,29.8256,ball,1,1,0.0000,40.0000,0.0000
5.6601,3.8438,29.9279,ball,1,1,0.0000,40.0000,0.0000
5.4961,3.8143,30.0289,ball,1,1,0.0000,40.0000,0.0000
5.3319,3.7840,30.1286,ball,1,1,0.0000,40.0000,0.0000
5.1674,3.7527,30.2269,ball,1,1,0.0000,40.0000,0.0000
5.0027,3.7206,30.3238,ball,1,1,0.0000,40.0000,0.0000
4.8378,3.6875,30.4194,ball,1,1,0.0000,40.0000,0.0000
4.6727,3.6536,30.5136,ball,1,1,0.0000,40.0000,0.0000
4.5073,3.6188,30.6065,ball,1,1,0.0000,40.0000,0.0000
4.3418,3.5832,30.6981,ball,1,1,0.0000,40.0000,0.0000
4.1761,3.5466,30.7883,ball,1,1,0.0000,40.0000,0.0000
4.0102,3.5092,30.8772,ball,1,1,0.0000,40.0000,0.0000
3.8441,3.4710,30.9647,ball,1,1,0.0000,40.0000,0.0000
3.6779,3.4318,31.0509,ball,1,1,0.0000,40.0000,0.0000
3.5115,3.3918,31.1358,ball,1,1,0.0000,40.0000,0.0000
3.3450,3.3509,31.2194,ball,1,1,0.0000,40.0000,0.0000
3.1783,3.3092,31.3016,ball,1,1,0.0000,40.0000,0.0000
3.0115,3.2666,31.3825,ball,1,1,0.0000,40.0000,0.0000
2.8446,3.2231,31.4621,ball,1,1,0.0000,40.0000,0.0000
2.6776,3.1788,31.5403,ball,1,1,0.0000,40.0000,0.0000
2.5104,3.1337,31.6173,ball,1,1,0.0000,40.0000,0.0000
2.3432,3.0876,31.6929,ball,1,1,0.0000,40.0000,0.0000
2.1759,3.0408,31.7672,ball,1,1,0.0000,40.0000,0.0000
2.0085,2.9931,31.8402,ball,1,1,0.0000,40.0000,0.0000
1.8411,2.9445,31.9119,ball,1,1,0.0000,40.0000,0.0000
1.6736,2.8951,31.9823,ball,1,1,0.0000,40.0000,0.0000
1.5060,2.8449,32.0514,ball,1,1,0.0000,40.0000,0.0000
1.3384,2.7938,32.1192,ball,1,1,0.0000,40.0000,0.0000
1.1707,2.7419,32.1857,ball,1,1,0.0000,40.0000,0.0000
1.0031,2.6891,32.2509,ball,1,1,0.0000,40.0000,0.0000
0.8354,2.6355,32.3148,ball,1,1,0.0000,40.0000,0.0000
0.6677,2.5811,32.3775,ball,1,1,0.0000,40.0000,0.0000
0.5000,2.5258,32.4388,ball,1,1,0.0000,40.0000,0.0000
0.3322,2.4697,32.4988,ball,1,1,0.0000,40.0000,0.0000
0.1645,2.4128,32.5576,ball,1,1,0.0000,40.0000,0.0000
-0.0031,2.3551,32.6151,ball,1,1,0.0000,40.0000,0.0000
