x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,42.0000,ball,1,1,0.0000,40.0000,0.0000
19.7940,0.0741,41.9920,ball,1,1,0.0000,40.0000,0.0000
19.5887,0.1469,41.9824,ball,1,1,0.0000,40.0000,0.0000
19.3841,0.2186,41.9714,ball,1,1,0.0000,40.0000,0.0000
19.1801,0.2892,41.9589,ball,1,1,0.0000,40.0000,0.0000
18.9768,0.3585,41.9449,ball,1,1,0.0000,40.0000,0.0000
18.7742,0.4267,41.9295,ball,1,1,0.0000,40.0000,0.0000
18.5723,0.4937,41.9126,ball,1,1,0.0000,40.0000,0.0000
18.3710,0.5596,41.8943,ball,1,1,0.0000,40.0000,0.0000
18.1705,0.6243,41.8746,ball,1,1,0.0000,40.0000,0.0000
17.9707,0.6879,41.8535,ball,1,1,0.0000,40.0000,0.0000
17.7716,0.7504,41.8310,ball,1,1,0.0000,40.0000,0.0000
17.5732,0.8116,41.8071,ball,1,1,0.0000,40.0000,0.0000
17.3756,0.8718,41.7819,ball,1,1,0.0000,40.0000,0.0000
17.1786,0.9308,41.7553,ball,1,1,0.0000,40.0000,0.0000
16.9824,0.9887,41.7275,ball,1,1,0.0000,40.0000,0.0000
16.7870,1.0455,41.6983,ball,1,1,0.0000,40.0000,0.0000
16.5923,1.1011,41.6678,ball,1,1,0.0000,40.0000,0.0000
16.3983,1.1557,41.6360,ball,1,1,0.0000,40.0000,0.0000
16.2051,1.2091,41.6029,ball,1,1,0.0000,40.0000,0.0000
16.0126,1.2614,41.5686,ball,1,1,0.0000,40.0000,0.0000
15.8209,1.3126,41.5330,ball,1,1,0.0000,40.0000,0.0000
15.6299,1.3627,41.4962,ball,1,1,0.0000,40.0000,0.0000
15.4398,1.4117,41.4581,ball,1,1,0.0000,40.0000,0.0000
15.2503,1.4596,41.4189,ball,1,1,0.0000,40.0000,0.0000
15.0617,1.5064,41.3784,ball,1,1,0.0000,40.0000,0.0000
14.8738,1.5521,41.3368,ball,1,1,0.0000,40.0000,0.0000
14.6867,1.5968,41.2940,ball,1,1,0.0000,40.0000,0.0000
14.5004,1.6403,41.2500,ball,1,1,0.0000,40.0000,0.0000
14.3149,1.6828,41.2049,ball,1,1,0.0000,40.0000,0.0000
14.1302,1.7242,41.1586,ball,1,1,0.0000,40.0000,0.0000
13.9463,1.7645,41.1112,ball,1,1,0.0000,40.0000,0.0000
13.7631,1.8038,41.0627,ball,1,1,0.0000,40.0000,0.0000
13.5808,1.8419,41.0131,ball,1,1,0.0000,40.0000,0.0000
13.3992,1.8791,40.9623,ball,1,1,0.0000,40.0000,0.0000
13.2185,1.9151,40.9105,ball,1,1,0.0000,40.0000,0.0000
13.0386,1.9501,40.8577,ball,1,1,0.0000,40.0000,0.0000
12.8595,1.9841,40.8037,ball,1,1,0.0000,40.0000,0.0000
12.6811,2.0170,40.7488,ball,1,1,0.0000,40.0000,0.0000
12.5036,2.0488,40.6927,ball,1,1,0.0000,40.0000,0.0000
12.3270,2.0796,40.6357,ball,1,1,0.0000,40.0000,0.0000
12.1511,2.1094,40.5776,ball,1,1,0.0000,40.0000,0.0000
11.9760,2.1381,40.5185,ball,1,1,0.0000,40.0000,0.0000
11.8018,2.1658,40.4585,ball,1,1,0.0000,40.0000,0.0000
11.6284,2.1924,40.3974,ball,1,1,0.0000,40.0000,0.0000
11.4558,2.2181,40.3354,ball,1,1,0.0000,40.0000,0.0000
11.2841,2.2426,40.2724,ball,1,1,0.0000,40.0000,0.0000
11.1132,2.2662,40.2084,ball,1,1,0.0000,40.0000,0.0000
10.9431,2.2887,40.1435,ball,1,1,0.0000,40.0000,0.0000
10.7738,2.3103,40.0776,ball,1,1,0.0000,40.0000,0.0000
10.6054,2.3308,40.0109,ball,1,1,0.0000,40.0000,0.0000
10.4379,2.3502,39.9432,ball,1,1,0.0000,40.0000,0.0000
10.2711,2.3687,39.8746,ball,1,1,0.0000,40.0000,0.0000
10.1052,2.3862,39.8051,ball,1,1,0.0000,40.0000,0.0000
9.9402,2.4026,39.7347,ball,1,1,0.0000,40.0000,0.0000
9.7759,2.4181,39.6634,ball,1,1,0.0000,40.0000,0.0000
9.6126,2.4325,39.5913,ball,1,1,0.0000,40.0000,0.0000
9.4500,2.4460,39.5183,ball,1,1,0.0000,40.0000,0.0000
9.2884,2.4584,39.4444,ball,1,1,0.0000,40.0000,0.0000
9.1275,2.4699,39.3697,ball,1,1,0.0000,40.0000,0.0000
