x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,35.0000,ball,1,1,0,0,0
29.8118,0.1087,35.0261,ball,1,1,0,0,0
29.6241,0.2161,35.0516,ball,1,1,0,0,0
29.4369,0.3223,35.0763,ball,1,1,0,0,0
29.2501,0.4272,35.1004,ball,1,1,0,0,0
29.0638,0.5308,35.1238,ball,1,1,0,0,0
28.8779,0.6331,35.1466,ball,1,1,0,0,0
28.6925,0.7342,35.1687,ball,1,1,0,0,0
28.5076,0.8341,35.1901,ball,1,1,0,0,0
28.3231,0.9327,35.2109,ball,1,1,0,0,0
28.1390,1.0300,35.2311,ball,1,1,0,0,0
27.9554,1.1262,35.2506,ball,1,1,0,0,0
27.7723,1.2210,35.2695,ball,1,1,0,0,0
27.5896,1.3147,35.2878,ball,1,1,0,0,0
27.4073,1.4071,35.3054,ball,1,1,0,0,0
27.2255,1.4984,35.3225,ball,1,1,0,0,0
27.0441,1.5884,35.3389,ball,1,1,0,0,0
26.8632,1.6772,35.3547,ball,1,1,0,0,0
26.6827,1.7647,35.3700,ball,1,1,0,0,0
26.5026,1.8511,35.3846,ball,1,1,0,0,0
26.3230,1.9363,35.3986,ball,1,1,0,0,0
26.1438,2.0203,35.4121,ball,1,1,0,0,0
25.9651,2.1032,35.4250,ball,1,1,0,0,0
25.7867,2.1848,35.4373,ball,1,1,0,0,0
25.6088,2.2652,35.4490,ball,1,1,0,0,0
25.4314,2.3445,35.4602,ball,1,1,0,0,0
25.2543,2.4226,35.4708,ball,1,1,0,0,0
25.0777,2.4996,35.4808,ball,1,1,0,0,0
24.9015,2.5753,35.4903,ball,1,1,0,0,0
24.7257,2.6500,35.4993,ball,1,1,0,0,0
24.5504,2.7234,35.5077,ball,1,1,0,0,0
24.3754,2.7957,35.5155,ball,1,1,0,0,0
24.2009,2.8669,35.5229,ball,1,1,0,0,0
24.0268,2.9369,35.5297,ball,1,1,0,0,0
23.8532,3.0058,35.5359,ball,1,1,0,0,0
23.6799,3.0735,35.5417,ball,1,1,0,0,0
23.5070,3.1401,35.5469,ball,1,1,0,0,0
23.3346,3.2056,35.5516,ball,1,1,0,0,0
23.1626,3.2699,35.5558,ball,1,1,0,0,0
22.9909,3.3332,35.5595,ball,1,1,0,0,0
22.8197,3.3953,35.5627,ball,1,1,0,0,0
22.6489,3.4563,35.5654,ball,1,1,0,0,0
22.4785,3.5161,35.5676,ball,1,1,0,0,0
22.3085,3.5749,35.5693,ball,1,1,0,0,0
22.1389,3.6326,35.5705,ball,1,1,0,0,0
21.9697,3.6891,35.5712,ball,1,1,0,0,0
21.8009,3.7446,35.5715,ball,1,1,0,0,0
21.6325,3.7989,35.5713,ball,1,1,0,0,0
21.4645,3.8522,35.5706,ball,1,1,0,0,0
21.2969,3.9044,35.5694,ball,1,1,0,0,0
21.1297,3.9555,35.5677,ball,1,1,0,0,0
20.9628,4.0055,35.5656,ball,1,1,0,0,0
20.7964,4.0544,35.5631,ball,1,1,0,0,0
20.6304,4.1022,35.5601,ball,1,1,0,0,0
20.4647,4.1490,35.5566,ball,1,1,0,0,0
20.2995,4.1947,35.5527,ball,1,1,0,0,0
20.1346,4.2393,35.5483,ball,1,1,0,0,0
19.9701,4.2829,35.5435,ball,1,1,0,0,0
19.8060,4.3254,35.5382,ball,1,1,0,0,0
19.6423,4.3668,35.5325,ball,1,1,0,0,0
19.4790,4.4072,35.5264,ball,1,1,0,0,0
19.3161,4.4465,35.5198,ball,1,1,0,0,0
19.1535,4.4848,35.5128,ball,1,1,0,0,0
18.9913,4.5220,35.5054,ball,1,1,0,0,0
18.8295,4.5581,35.4976,ball,1,1,0,0,0
18.6681,4.5933,35.4893,ball,1,1,0,0,0
18.5071,4.6273,35.4806,ball,1,1,0,0,0
18.3464,4.6604,35.4715,ball,1,1,0,0,0
18.1861,4.6924,35.4620,ball,1,1,0,0,0
18.0262,4.7233,35.4521,ball,1,1,0,0,0
17.8667,4.7533,35.4418,ball,1,1,0,0,0
17.7075,4.7822,35.4311,ball,1,1,0,0,0
17.5487,4.8100,35.4199,ball,1,1,0,0,0
17.3903,4.8369,35.4084,ball,1,1,0,0,0
17.2322,4.8627,35.3965,ball,1,1,0,0,0
17.0745,4.8875,35.3842,ball,1,1,0,0,0
16.9172,4.9113,35.3715,ball,1,1,0,0,0
16.7603,4.9340,35.3584,ball,1,1,0,0,0
16.6037,4.9558,35.3449,ball,1,1,0,0,0
16.4475,4.9765,35.3310,ball,1,1,0,0,0
16.2916,4.9963,35.3168,ball,1,1,0,0,0
16.1362,5.0150,35.3021,ball,1,1,0,0,0
15.9810,5.0327,35.2871,ball,1,1,0,0,0
15.8263,5.0494,35.2717,ball,1,1,0,0,0
15.6719,5.0651,35.2560,ball,1,1,0,0,0
15.5179,5.0798,35.2399,ball,1,1,0,0,0
15.3642,5.0936,35.2234,ball,1,1,0,0,0
15.2109,5.1063,35.2065,ball,1,1,0,0,0
15.0579,5.1180,35.1893,ball,1,1,0,0,0
14.9053,5.1288,35.1717,ball,1,1,0,0,0
14.7531,5.1385,35.1537,ball,1,1,0,0,0
14.6012,5.1473,35.1354,ball,1,1,0,0,0
14.4497,5.1551,35.1168,ball,1,1,0,0,0
14.2985,5.1619,35.0978,ball,1,1,0,0,0
14.1477,5.1677,35.0784,ball,1,1,0,0,0
13.9973,5.1726,35.0587,ball,1,1,0,0,0
13.8472,5.1764,35.0386,ball,1,1,0,0,0
13.6975,5.1793,35.0182,ball,1,1,0,0,0
13.5481,5.1813,34.9974,ball,1,1,0,0,0
13.3990,5.1822,34.9763,ball,1,1,0,0,0
13.2504,5.1822,34.9549,ball,1,1,0,0,0
13.1020,5.1813,34.9331,ball,1,1,0,0,0
12.9541,5.1793,34.9110,ball,1,1,0,0,0
12.8064,5.1764,34.8885,ball,1,1,0,0,0
12.6592,5.1726,34.8657,ball,1,1,0,0,0
12.5122,5.1677,34.8426,ball,1,1,0,0,0
12.3657,5.1620,34.8192,ball,1,1,0,0,0
12.2195,5.1552,34.7954,ball,1,1,0,0,0
12.0736,5.1476,34.7713,ball,1,1,0,0,0
11.9281,5.1389,34.7468,ball,1,1,0,0,0
11.7829,5.1293,34.7221,ball,1,1,0,0,0
11.6381,5.1188,34.6970,ball,1,1,0,0,0
11.4936,5.1074,34.6716,ball,1,1,0,0,0
11.3495,5.0949,34.6458,ball,1,1,0,0,0
11.2057,5.0816,34.6198,ball,1,1,0,0,0
11.0623,5.0673,34.5934,ball,1,1,0,0,0
10.9192,5.0521,34.5667,ball,1,1,0,0,0
10.7765,5.0359,34.5397,ball,1,1,0,0,0
10.6341,5.0188,34.5124,ball,1,1,0,0,0
10.4920,5.0007,34.4848,ball,1,1,0,0,0
10.3503,4.9818,34.4568,ball,1,1,0,0,0
10.2090,4.9619,34.4286,ball,1,1,0,0,0
10.0680,4.9411,34.4000,ball,1,1,0,0,0
9.9273,4.9193,34.3711,ball,1,1,0,0,0
9.7870,4.8966,34.3420,ball,1,1,0,0,0
9.6471,4.8731,34.3125,ball,1,1,0,0,0
9.5074,4.8485,34.2827,ball,1,1,0,0,0
9.3682,4.8231,34.2526,ball,1,1,0,0,0
9.2293,4.7968,34.2222,ball,1,1,0,0,0
9.0907,4.7695,34.1915,ball,1,1,0,0,0
8.9525,4.7413,34.1605,ball,1,1,0,0,0
8.8146,4.7122,34.1292,ball,1,1,0,0,0
8.6770,4.6822,34.0976,ball,1,1,0,0,0
8.5398,4.6513,34.0657,ball,1,1,0,0,0
8.4030,4.6195,34.0335,ball,1,1,0,0,0
8.2665,4.5868,34.0011,ball,1,1,0,0,0
8.1304,4.5532,33.9683,ball,1,1,0,0,0
7.9945,4.5187,33.9352,ball,1,1,0,0,0
7.8591,4.4832,33.9019,ball,1,1,0,0,0
7.7240,4.4469,33.8682,ball,1,1,0,0,0
7.5892,4.4097,33.8343,ball,1,1,0,0,0
7.4548,4.3716,33.8000,ball,1,1,0,0,0
7.3207,4.3326,33.7655,ball,1,1,0,0,0
7.1870,4.2927,33.7307,ball,1,1,0,0,0
7.0536,4.2519,33.6956,ball,1,1,0,0,0
6.9206,4.2103,33.6602,ball,1,1,0,0,0
6.7880,4.1677,33.6245,ball,1,1,0,0,0
6.6556,4.1243,33.5886,ball,1,1,0,0,0
6.5237,4.0799,33.5523,ball,1,1,0,0,0
6.3920,4.0347,33.5158,ball,1,1,0,0,0
6.2608,3.9887,33.4790,ball,1,1,0,0,0
6.1298,3.9417,33.4419,ball,1,1,0,0,0
5.9993,3.8939,33.4046,ball,1,1,0,0,0
5.8690,3.8452,33.3669,ball,1,1,0,0,0
5.7392,3.7956,33.3290,ball,1,1,0,0,0
5.6096,3.7451,33.2908,ball,1,1,0,0,0
5.4805,3.6938,33.2523,ball,1,1,0,0,0
5.3517,3.6416,33.2135,ball,1,1,0,0,0
5.2232,3.5886,33.1745,ball,1,1,0,0,0
5.0951,3.5346,33.1352,ball,1,1,0,0,0
4.9673,3.4799,33.0956,ball,1,1,0,0,0
4.8399,3.4242,33.0557,ball,1,1,0,0,0
4.7129,3.3677,33.0156,ball,1,1,0,0,0
4.5862,3.3104,32.9752,ball,1,1,0,0,0
4.4599,3.2522,32.9345,ball,1,1,0,0,0
4.3339,3.1931,32.8935,ball,1,1,0,0,0
4.2083,3.1332,32.8523,ball,1,1,0,0,0
4.0830,3.0724,32.8108,ball,1,1,0,0,0
3.9581,3.0108,32.7690,ball,1,1,0,0,0
3.8336,2.9484,32.7269,ball,1,1,0,0,0
3.7094,2.8851,32.6846,ball,1,1,0,0,0
3.5856,2.8209,32.6420,ball,1,1,0,0,0
3.4621,2.7559,32.5992,ball,1,1,0,0,0
3.3390,2.6901,32.5560,ball,1,1,0,0,0
3.2163,2.6234,32.5126,ball,1,1,0,0,0
3.0939,2.5559,32.4690,ball,1,1,0,0,0
2.9719,2.4876,32.4250,ball,1,1,0,0,0
2.8503,2.4184,32.3808,ball,1,1,0,0,0
2.7290,2.3484,32.3364,ball,1,1,0,0,0
2.6081,2.2776,32.2916,ball,1,1,0,0,0
2.4876,2.2060,32.2466,ball,1,1,0,0,0
2.3674,2.1335,32.2014,ball,1,1,0,0,0
2.2476,2.0602,32.1559,ball,1,1,0,0,0
2.1282,1.9861,32.1101,ball,1,1,0,0,0
2.0091,1.9111,32.0640,ball,1,1,0,0,0
1.8904,1.8354,32.0177,ball,1,1,0,0,0
1.7721,1.7588,31.9711,ball,1,1,0,0,0
1.6542,1.6814,31.9243,ball,1,1,0,0,0
1.5366,1.6032,31.8772,ball,1,1,0,0,0
1.4194,1.5242,31.8298,ball,1,1,0,0,0
1.3026,1.4444,31.7822,ball,1,1,0,0,0
1.1861,1.3637,31.7343,ball,1,1,0,0,0
1.0701,1.2823,31.6862,ball,1,1,0,0,0
0.9544,1.2000,31.6378,ball,1,1,0,0,0
0.8391,1.1170,31.5891,ball,1,1,0,0,0
0.7242,1.0332,31.5402,ball,1,1,0,0,0
0.6096,0.9485,31.4910,ball,1,1,0,0,0
0.4955,0.8631,31.4416,ball,1,1,0,0,0
0.3817,0.7769,31.3919,ball,1,1,0,0,0
0.2683,0.6899,31.3419,ball,1,1,0,0,0
0.1553,0.6020,31.2917,ball,1,1,0,0,0
0.0427,0.5134,31.2412,ball,1,1,0,0,0
-0.0696,0.4241,31.1905,ball,1,1,0,0,0
20.9411,0.0000,36.2878,wall,3.0000,2.5000,-0.9994,0.0000,-0.0333
0.0000,0.0000,34.0000,goal,7.3200,2.4400,1,0,0
