x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,35.0000,ball,1,1,0.0000,-20.0000,0.0000
29.8234,0.1087,34.9301,ball,1,1,0.0000,-20.0000,0.0000
29.6469,0.2161,34.8613,ball,1,1,0.0000,-20.0000,0.0000
29.4705,0.3223,34.7937,ball,1,1,0.0000,-20.0000,0.0000
29.2943,0.4272,34.7272,ball,1,1,0.0000,-20.0000,0.0000
29.1183,0.5308,34.6618,ball,1,1,0.0000,-20.0000,0.0000
28.9424,0.6331,34.5976,ball,1,1,0.0000,-20.0000,0.0000
28.7666,0.7342,34.5345,ball,1,1,0.0000,-20.0000,0.0000
28.5911,0.8341,34.4725,ball,1,1,0.0000,-20.0000,0.0000
28.4157,0.9327,34.4115,ball,1,1,0.0000,-20.0000,0.0000
28.2404,1.0300,34.3517,ball,1,1,0.0000,-20.0000,0.0000
28.0654,1.1262,34.2929,ball,1,1,0.0000,-20.0000,0.0000
27.8905,1.2210,34.2353,ball,1,1,0.0000,-20.0000,0.0000
27.7158,1.3147,34.1786,ball,1,1,0.0000,-20.0000,0.0000
27.5413,1.4071,34.1231,ball,1,1,0.0000,-20.0000,0.0000
27.3670,1.4984,34.0685,ball,1,1,0.0000,-20.0000,0.0000
27.1929,1.5884,34.0151,ball,1,1,0.0000,-20.0000,0.0000
27.0190,1.6772,33.9626,ball,1,1,0.0000,-20.0000,0.0000
26.8452,1.7647,33.9112,ball,1,1,0.0000,-20.0000,0.0000
26.6717,1.8511,33.8608,ball,1,1,0.0000,-20.0000,0.0000
26.4984,1.9363,33.8114,ball,1,1,0.0000,-20.0000,0.0000
26.3254,2.0203,33.7629,ball,1,1,0.0000,-20.0000,0.0000
26.1525,2.1031,33.7155,ball,1,1,0.0000,-20.0000,0.0000
25.9798,2.1848,33.6691,ball,1,1,0.0000,-20.0000,0.0000
25.8074,2.2652,33.6236,ball,1,1,0.0000,-20.0000,0.0000
25.6352,2.3445,33.5792,ball,1,1,0.0000,-20.0000,0.0000
25.4632,2.4226,33.5356,ball,1,1,0.0000,-20.0000,0.0000
25.2915,2.4996,33.4931,ball,1,1,0.0000,-20.0000,0.0000
25.1200,2.5753,33.4514,ball,1,1,0.0000,-20.0000,0.0000
24.9487,2.6499,33.4108,ball,1,1,0.0000,-20.0000,0.0000
24.7776,2.7234,33.3710,ball,1,1,0.0000,-20.0000,0.0000
24.6068,2.7957,33.3322,ball,1,1,0.0000,-20.0000,0.0000
24.4363,2.8669,33.2943,ball,1,1,0.0000,-20.0000,0.0000
24.2660,2.9369,33.2573,ball,1,1,0.0000,-20.0000,0.0000
24.0959,3.0058,33.2212,ball,1,1,0.0000,-20.0000,0.0000
23.9261,3.0735,33.1861,ball,1,1,0.0000,-20.0000,0.0000
23.7566,3.1401,33.1518,ball,1,1,0.0000,-20.0000,0.0000
23.5873,3.2056,33.1184,ball,1,1,0.0000,-20.0000,0.0000
23.4182,3.2699,33.0859,ball,1,1,0.0000,-20.0000,0.0000
23.2495,3.3332,33.0542,ball,1,1,0.0000,-20.0000,0.0000
23.0810,3.3953,33.0234,ball,1,1,0.0000,-20.0000,0.0000
22.9127,3.4562,32.9935,ball,1,1,0.0000,-20.0000,0.0000
22.7447,3.5161,32.9644,ball,1,1,0.0000,-20.0000,0.0000
22.5770,3.5749,32.9362,ball,1,1,0.0000,-20.0000,0.0000
22.4096,3.6325,32.9088,ball,1,1,0.0000,-20.0000,0.0000
22.2424,3.6891,32.8823,ball,1,1,0.0000,-20.0000,0.0000
22.0755,3.7446,32.8566,ball,1,1,0.0000,-20.0000,0.0000
21.9089,3.7989,32.8317,ball,1,1,0.0000,-20.0000,0.0000
21.7426,3.8522,32.8076,ball,1,1,0.0000,-20.0000,0.0000
21.5765,3.9044,32.7844,ball,1,1,0.0000,-20.0000,0.0000
21.4108,3.9554,32.7619,ball,1,1,0.0000,-20.0000,0.0000
21.2453,4.0054,32.7403,ball,1,1,0.0000,-20.0000,0.0000
21.0801,4.0544,32.7194,ball,1,1,0.0000,-20.0000,0.0000
20.9152,4.1022,32.6994,ball,1,1,0.0000,-20.0000,0.0000
20.7506,4.1490,32.6801,ball,1,1,0.0000,-20.0000,0.0000
20.5862,4.1947,32.6616,ball,1,1,0.0000,-20.0000,0.0000
20.4222,4.2393,32.6438,ball,1,1,0.0000,-20.0000,0.0000
20.2585,4.2828,32.6269,ball,1,1,0.0000,-20.0000,0.0000
20.0950,4.3253,32.6107,ball,1,1,0.0000,-20.0000,0.0000
19.9319,4.3668,32.5952,ball,1,1,0.0000,-20.0000,0.0000
19.7690,4.4071,32.5805,ball,1,1,0.0000,-20.0000,0.0000
19.6065,4.4465,32.5666,ball,1,1,0.0000,-20.0000,0.0000
19.4442,4.4847,32.5534,ball,1,1,0.0000,-20.0000,0.0000
19.2823,4.5219,32.5409,ball,1,1,0.0000,-20.0000,0.0000
19.1207,4.5581,32.5292,ball,1,1,0.0000,-20.0000,0.0000
18.9593,4.5932,32.5181,ball,1,1,0.0000,-20.0000,0.0000
18.7983,4.6273,32.5078,ball,1,1,0.0000,-20.0000,0.0000
18.6376,4.6603,32.4983,ball,1,1,0.0000,-20.0000,0.0000
18.4772,4.6923,32.4894,ball,1,1,0.0000,-20.0000,0.0000
18.3171,4.7233,32.4813,ball,1,1,0.0000,-20.0000,0.0000
18.1573,4.7532,32.4738,ball,1,1,0.0000,-20.0000,0.0000
17.9979,4.7821,32.4670,ball,1,1,0.0000,-20.0000,0.0000
17.8387,4.8100,32.4610,ball,1,1,0.0000,-20.0000,0.0000
17.6799,4.8368,32.4556,ball,1,1,0.0000,-20.0000,0.0000
17.5214,4.8626,32.4509,ball,1,1,0.0000,-20.0000,0.0000
17.3632,4.8874,32.4469,ball,1,1,0.0000,-20.0000,0.0000
17.2053,4.9112,32.4436,ball,1,1,0.0000,-20.0000,0.0000
17.0478,4.9340,32.4409,ball,1,1,0.0000,-20.0000,0.0000
16.8906,4.9557,32.4389,ball,1,1,0.0000,-20.0000,0.0000
