x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
40.0000,0.0000,14.0000,ball,1,1,0,0,0
39.8214,0.1484,14.1873,ball,1,1,0,0,0
39.6429,0.2953,14.3732,ball,1,1,0,0,0
39.4645,0.4406,14.5578,ball,1,1,0,0,0
39.2862,0.5844,14.7411,ball,1,1,0,0,0
39.1079,0.7267,14.9230,ball,1,1,0,0,0
38.9297,0.8675,15.1037,ball,1,1,0,0,0
38.7516,1.0067,15.2830,ball,1,1,0,0,0
38.5736,1.1445,15.4610,ball,1,1,0,0,0
38.3956,1.2807,15.6378,ball,1,1,0,0,0
38.2177,1.4155,15.8133,ball,1,1,0,0,0
38.0399,1.5488,15.9875,ball,1,1,0,0,0
37.8622,1.6806,16.1605,ball,1,1,0,0,0
37.6846,1.8109,16.3323,ball,1,1,0,0,0
37.5071,1.9399,16.5028,ball,1,1,0,0,0
37.3297,2.0673,16.6721,ball,1,1,0,0,0
37.1523,2.1934,16.8402,ball,1,1,0,0,0
36.9751,2.3180,17.0071,ball,1,1,0,0,0
36.7979,2.4412,17.1728,ball,1,1,0,0,0
36.6209,2.5629,17.3373,ball,1,1,0,0,0
36.4439,2.6833,17.5006,ball,1,1,0,0,0
36.2671,2.8023,17.6628,ball,1,1,0,0,0
36.0903,2.9199,17.8238,ball,1,1,0,0,0
35.9137,3.0361,17.9837,ball,1,1,0,0,0
35.7372,3.1509,18.1425,ball,1,1,0,0,0
35.5607,3.2644,18.3001,ball,1,1,0,0,0
35.3844,3.3765,18.4566,ball,1,1,0,0,0
35.2082,3.4872,18.6120,ball,1,1,0,0,0
35.0321,3.5966,18.7663,ball,1,1,0,0,0
34.8561,3.7047,18.9195,ball,1,1,0,0,0
34.6803,3.8114,19.0716,ball,1,1,0,0,0
34.5045,3.9168,19.2226,ball,1,1,0,0,0
34.3289,4.0208,19.3726,ball,1,1,0,0,0
34.1533,4.1236,19.5215,ball,1,1,0,0,0
33.9779,4.2250,19.6693,ball,1,1,0,0,0
33.8027,4.3251,19.8161,ball,1,1,0,0,0
33.6275,4.4240,19.9618,ball,1,1,0,0,0
33.4525,4.5215,20.1066,ball,1,1,0,0,0
33.2775,4.6178,20.2503,ball,1,1,0,0,0
33.1027,4.7127,20.3930,ball,1,1,0,0,0
32.9281,4.8064,20.5346,ball,1,1,0,0,0
32.7535,4.8989,20.6753,ball,1,1,0,0,0
32.5791,4.9900,20.8150,ball,1,1,0,0,0
32.4048,5.0799,20.9537,ball,1,1,0,0,0
32.2307,5.1686,21.0914,ball,1,1,0,0,0
32.0566,5.2560,21.2281,ball,1,1,0,0,0
31.8828,5.3422,21.3639,ball,1,1,0,0,0
31.7090,5.4271,21.4987,ball,1,1,0,0,0
31.5354,5.5108,21.6325,ball,1,1,0,0,0
31.3619,5.5932,21.7654,ball,1,1,0,0,0
31.1885,5.6745,21.8974,ball,1,1,0,0,0
31.0153,5.7545,22.0284,ball,1,1,0,0,0
30.8422,5.8333,22.1585,ball,1,1,0,0,0
30.6693,5.9109,22.2877,ball,1,1,0,0,0
30.4965,5.9873,22.4160,ball,1,1,0,0,0
30.3238,6.0625,22.5433,ball,1,1,0,0,0
30.1513,6.1365,22.6698,ball,1,1,0,0,0
29.9789,6.2094,22.7953,ball,1,1,0,0,0
29.8066,6.2810,22.9200,ball,1,1,0,0,0
29.6345,6.3515,23.0437,ball,1,1,0,0,0
29.4626,6.4207,23.1666,ball,1,1,0,0,0
29.2908,6.4889,23.2887,ball,1,1,0,0,0
29.1191,6.5558,23.4098,ball,1,1,0,0,0
28.9476,6.6216,23.5301,ball,1,1,0,0,0
28.7762,6.6862,23.6495,ball,1,1,0,0,0
28.6050,6.7497,23.7681,ball,1,1,0,0,0
28.4339,6.8120,23.8858,ball,1,1,0,0,0
28.2630,6.8732,24.0027,ball,1,1,0,0,0
28.0922,6.9332,24.1188,ball,1,1,0,0,0
27.9216,6.9921,24.2340,ball,1,1,0,0,0
27.7511,7.0499,24.3484,ball,1,1,0,0,0
27.5808,7.1065,24.4620,ball,1,1,0,0,0
27.4106,7.1620,24.5748,ball,1,1,0,0,0
27.2406,7.2164,24.6867,ball,1,1,0,0,0
27.0707,7.2697,24.7979,ball,1,1,0,0,0
