x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,28.0000,ball,1,1,0,0,0
19.7061,0.0509,27.9861,ball,1,1,0,0,0
19.4131,0.1007,27.9752,ball,1,1,0,0,0
19.1213,0.1493,27.9673,ball,1,1,0,0,0
18.8305,0.1967,27.9624,ball,1,1,0,0,0
18.5408,0.2430,27.9605,ball,1,1,0,0,0
18.2522,0.2881,27.9614,ball,1,1,0,0,0
17.9647,0.3321,27.9653,ball,1,1,0,0,0
17.6784,0.3750,27.9720,ball,1,1,0,0,0
17.3932,0.4167,27.9816,ball,1,1,0,0,0
17.1093,0.4573,27.9939,ball,1,1,0,0,0
16.8265,0.4968,28.0090,ball,1,1,0,0,0
16.5450,0.5351,28.0269,ball,1,1,0,0,0
16.2648,0.5724,28.0475,ball,1,1,0,0,0
15.9857,0.6085,28.0707,ball,1,1,0,0,0
15.7080,0.6436,28.0966,ball,1,1,0,0,0
15.4316,0.6775,28.1251,ball,1,1,0,0,0
15.1564,0.7104,28.1562,ball,1,1,0,0,0
14.8826,0.7421,28.1898,ball,1,1,0,0,0
14.6101,0.7728,28.2260,ball,1,1,0,0,0
14.3390,0.8024,28.2647,ball,1,1,0,0,0
14.0693,0.8310,28.3059,ball,1,1,0,0,0
13.8009,0.8584,28.3495,ball,1,1,0,0,0
13.5339,0.8848,28.3955,ball,1,1,0,0,0
13.2684,0.9102,28.4440,ball,1,1,0,0,0
13.0042,0.9344,28.4948,ball,1,1,0,0,0
12.7415,0.9577,28.5479,ball,1,1,0,0,0
12.4802,0.9798,28.6033,ball,1,1,0,0,0
12.2204,1.0010,28.6610,ball,1,1,0,0,0
11.9621,1.0211,28.7210,ball,1,1,0,0,0
11.7052,1.0401,28.7832,ball,1,1,0,0,0
11.4499,1.0581,28.8476,ball,1,1,0,0,0
11.1960,1.0751,28.9141,ball,1,1,0,0,0
10.9437,1.0911,28.9828,ball,1,1,0,0,0
10.6928,1.1060,29.0537,ball,1,1,0,0,0
10.4436,1.1200,29.1266,ball,1,1,0,0,0
10.1958,1.1329,29.2016,ball,1,1,0,0,0
9.9496,1.1448,29.2786,ball,1,1,0,0,0
9.7050,1.1557,29.3577,ball,1,1,0,0,0
9.4619,1.1656,29.4387,ball,1,1,0,0,0
9.2204,1.1745,29.5217,ball,1,1,0,0,0
8.9805,1.1824,29.6067,ball,1,1,0,0,0
8.7422,1.1893,29.6935,ball,1,1,0,0,0
8.5055,1.1952,29.7823,ball,1,1,0,0,0
8.2704,1.2001,29.8729,ball,1,1,0,0,0
8.0369,1.2041,29.9654,ball,1,1,0,0,0
7.8050,1.2070,30.0597,ball,1,1,0,0,0
7.5748,1.2090,30.1558,ball,1,1,0,0,0
7.3462,1.2101,30.2536,ball,1,1,0,0,0
7.1193,1.2101,30.3532,ball,1,1,0,0,0
6.8940,1.2092,30.4546,ball,1,1,0,0,0
6.6704,1.2073,30.5576,ball,1,1,0,0,0
6.4484,1.2045,30.6623,ball,1,1,0,0,0
6.2281,1.2007,30.7687,ball,1,1,0,0,0
6.0094,1.1959,30.8767,ball,1,1,0,0,0
5.7925,1.1903,30.9863,ball,1,1,0,0,0
5.5772,1.1836,31.0975,ball,1,1,0,0,0
5.3636,1.1760,31.2102,ball,1,1,0,0,0
5.1517,1.1675,31.3245,ball,1,1,0,0,0
4.9415,1.1580,31.4403,ball,1,1,0,0,0
4.7330,1.1476,31.5576,ball,1,1,0,0,0
4.5262,1.1363,31.6764,ball,1,1,0,0,0
4.3212,1.1240,31.7967,ball,1,1,0,0,0
4.1178,1.1108,31.9184,ball,1,1,0,0,0
3.9161,1.0967,32.0415,ball,1,1,0,0,0
3.7162,1.0817,32.1660,ball,1,1,0,0,0
3.5180,1.0657,32.2918,ball,1,1,0,0,0
3.3216,1.0489,32.4190,ball,1,1,0,0,0
3.1268,1.0311,32.5476,ball,1,1,0,0,0
2.9338,1.0124,32.6774,ball,1,1,0,0,0
2.7426,0.9928,32.8086,ball,1,1,0,0,0
2.5530,0.9723,32.9410,ball,1,1,0,0,0
2.3652,0.9509,33.0746,ball,1,1,0,0,0
2.1792,0.9286,33.2095,ball,1,1,0,0,0
1.9949,0.9054,33.3456,ball,1,1,0,0,0
1.8124,0.8813,33.4828,ball,1,1,0,0,0
1.6316,0.8563,33.6213,ball,1,1,0,0,0
1.4526,0.8304,33.7609,ball,1,1,0,0,0
1.2753,0.8036,33.9016,ball,1,1,0,0,0
1.0998,0.7760,34.0434,ball,1,1,0,0,0
0.9260,0.7474,34.1864,ball,1,1,0,0,0
0.7541,0.7180,34.3304,ball,1,1,0,0,0
0.5838,0.6877,34.4754,ball,1,1,0,0,0
0.4154,0.6566,34.6215,ball,1,1,0,0,0
0.2487,0.6245,34.7686,ball,1,1,0,0,0
0.0838,0.5916,34.9167,ball,1,1,0,0,0
-0.0794,0.5579,35.0658,ball,1,1,0,0,0
10.8652,0.0000,27.4732,wall,3.0000,2.5000,-0.9578,0.0000,0.2873
0.0000,0.0000,34.0000,goal,7.3200,2.4400,1,0,0
